               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13106,            0.033817,                   0,                   0,                   0,                   0,                   0,             0.12886,             0.02757,                   0,              0.0973,              0.0003,              0.0003
                   1,             0.12865,            0.030825,                   0,                   0,                   0,                   0,                   0,             0.12364,            0.024179,                   0,            0.093686,          0.00068614,          0.00068614
                   2,             0.12348,              0.0261,                   0,                   0,                   0,                   0,                   0,             0.11833,             0.02118,                   0,            0.090056,           0.0010564,           0.0010564
                   3,              0.1165,            0.023907,                   0,          0.00083333,             0.14286,          0.00063473,          0.00012695,             0.11269,            0.018949,                   0,            0.086411,           0.0014109,           0.0014109
                   4,             0.11051,            0.020733,                   0,          0.00066667,             0.14286,          0.00049382,          9.8763e-05,             0.10899,            0.018062,                   0,             0.08275,           0.0017495,           0.0017495
                   5,             0.11391,            0.019358,                   0,          0.00055556,             0.14286,          0.00033581,          0.00020148,             0.10799,            0.016854,                   0,            0.079072,           0.0020723,           0.0020723
                   6,             0.10856,             0.01887,                   0,          0.00095238,             0.28571,          0.00075444,          0.00024655,             0.10392,            0.016055,                   0,            0.075379,           0.0023792,           0.0023792
                   7,              0.1058,            0.018454,                   0,             0.00125,             0.42857,           0.0014285,          0.00054173,            0.098636,            0.015469,                   0,             0.07167,           0.0026703,           0.0026703
                   8,            0.098762,            0.017329,                   0,             0.00125,             0.42857,            0.002112,          0.00078686,             0.10073,            0.014439,                   0,            0.067946,           0.0029456,           0.0029456
                   9,            0.097811,             0.01567,                   0,             0.00125,             0.42857,           0.0023465,          0.00069608,            0.097353,            0.013692,                   0,            0.064205,            0.003205,            0.003205
                  10,            0.095587,            0.016755,                   0,           0.0016667,             0.57143,           0.0024119,           0.0010248,            0.093926,             0.01323,                   0,            0.060449,           0.0034486,           0.0034486
                  11,            0.088261,            0.017529,                   0,           0.0016667,             0.57143,           0.0022702,          0.00048719,            0.090486,            0.012861,                   0,            0.056676,           0.0036763,           0.0036763
                  12,            0.085496,            0.015094,                   0,           0.0016667,             0.57143,           0.0034893,           0.0014486,            0.085611,            0.012776,                   0,            0.052888,           0.0038882,           0.0038882
                  13,            0.083683,            0.013356,                   0,              0.0025,             0.85714,           0.0096703,           0.0017435,            0.083459,             0.01274,                   0,            0.049084,           0.0040843,           0.0040843
                  14,            0.079043,            0.015694,                   0,           0.0020833,             0.71429,            0.018021,           0.0040682,            0.084694,              0.0123,                   0,            0.045265,           0.0042645,           0.0042645
                  15,            0.076398,            0.016191,                   0,              0.0025,             0.85714,            0.021856,           0.0052752,            0.080013,            0.012461,                   0,            0.041429,           0.0044289,           0.0044289
                  16,            0.072867,            0.016693,                   0,           0.0020833,             0.71429,           0.0083718,           0.0024279,            0.081144,            0.012429,                   0,            0.037577,           0.0045774,           0.0045774
                  17,            0.072907,            0.017081,                   0,              0.0025,             0.85714,            0.023729,           0.0082134,            0.067915,            0.013075,                   0,             0.03371,           0.0047101,           0.0047101
                  18,            0.072421,            0.014466,                   0,              0.0025,             0.85714,            0.009396,           0.0016879,            0.082792,            0.011601,                   0,            0.029827,            0.004827,            0.004827
                  19,            0.072288,            0.015839,                   0,              0.0025,             0.85714,             0.02885,           0.0082919,            0.064408,            0.013074,                   0,            0.025928,            0.004928,            0.004928
                  20,            0.061729,             0.01588,                   0,           0.0029167,                   1,            0.010017,           0.0019051,            0.077015,            0.011792,                   0,            0.022013,           0.0050132,           0.0050132
                  21,            0.071081,            0.015052,                   0,           0.0029167,                   1,            0.030881,           0.0075353,            0.066629,             0.01236,                   0,            0.018083,           0.0050825,           0.0050825
                  22,            0.062246,            0.017795,                   0,           0.0029167,                   1,            0.070072,            0.015401,            0.073027,            0.011283,                   0,            0.014136,            0.005136,            0.005136
                  23,              0.0623,            0.015757,                   0,           0.0029167,                   1,            0.041945,            0.013745,            0.059015,            0.012469,                   0,            0.010174,           0.0051737,           0.0051737
                  24,            0.068945,             0.01386,                   0,           0.0029167,                   1,            0.058932,            0.023894,            0.060946,            0.012314,                   0,           0.0061955,           0.0051955,           0.0051955
                  25,            0.055963,             0.01672,                   0,           0.0029167,                   1,            0.039311,            0.015331,            0.057299,            0.012253,                   0,             0.00505,             0.00505,             0.00505
                  26,            0.055294,            0.015173,                   0,           0.0029167,                   1,            0.081423,            0.019047,               0.066,            0.011494,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.054516,             0.01599,                   0,           0.0029167,                   1,            0.085284,            0.038765,            0.052515,            0.012428,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.056063,            0.015921,                   0,           0.0029167,                   1,             0.10694,             0.03851,            0.061717,            0.011419,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.055592,            0.016808,                   0,           0.0029167,                   1,             0.12915,            0.045124,            0.053711,             0.01203,                   0,            0.004456,            0.004456,            0.004456
                  30,             0.05056,            0.019236,                   0,           0.0029167,                   1,             0.24939,             0.12594,            0.060387,            0.011374,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.050774,            0.015519,                   0,           0.0029167,                   1,             0.28713,             0.18426,            0.044771,            0.012459,                   0,             0.00406,             0.00406,             0.00406
                  32,             0.04596,            0.015113,                   0,           0.0029167,                   1,              0.3675,             0.16308,            0.055928,             0.01137,                   0,            0.003862,            0.003862,            0.003862
                  33,             0.05097,            0.016853,                   0,           0.0029167,                   1,              0.3494,             0.15461,            0.048038,            0.012022,                   0,            0.003664,            0.003664,            0.003664
                  34,             0.04568,             0.01559,                   0,           0.0029167,                   1,             0.55721,             0.29109,            0.049746,            0.011653,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.045018,            0.013619,                   0,           0.0029167,                   1,              0.6508,             0.25934,            0.046735,            0.011795,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.047406,            0.019036,                   0,           0.0029167,                   1,             0.61999,             0.36653,             0.04996,            0.011504,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.044419,            0.014096,                   0,           0.0029167,                   1,              0.7575,             0.39546,            0.045673,            0.011811,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.043003,            0.015309,                   0,           0.0029167,                   1,             0.71632,             0.44177,            0.046709,            0.011527,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.041127,            0.015827,                   0,            0.021027,                   1,             0.76517,             0.46254,            0.041923,             0.01186,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.043015,            0.014337,                   0,            0.047785,                   1,             0.74837,             0.50439,            0.045114,            0.011378,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.039425,            0.015584,                   0,             0.10468,                   1,             0.76182,             0.52583,            0.041091,            0.011592,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.040241,            0.016643,                   0,             0.21938,                   1,             0.77555,             0.52264,            0.042705,            0.011335,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.038136,            0.016853,                   0,             0.34534,             0.71429,             0.76833,             0.50782,            0.038372,             0.01159,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.036903,            0.016613,                   0,             0.61429,             0.71429,             0.77508,             0.51994,            0.041012,            0.011206,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.035228,             0.01616,                   0,             0.66169,             0.71429,             0.78191,             0.52674,            0.040615,            0.011141,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.038209,            0.014278,                   0,             0.67813,             0.71429,             0.77917,             0.54309,            0.037768,            0.011223,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.035505,            0.011994,                   0,             0.68216,             0.71429,             0.75594,              0.5376,            0.035129,            0.011341,                   0,            0.000892,            0.000892,            0.000892
                  48,             0.03693,             0.01479,                   0,             0.70466,             0.71429,             0.75869,             0.53588,            0.035941,             0.01124,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.032723,            0.015134,                   0,             0.71333,             0.71429,             0.76178,             0.55219,            0.036779,            0.011165,                   0,            0.000496,            0.000496,            0.000496
